date,delta,gamma,vega,theta
2023-07-03,-11640660.72741467,-152320.9459915317,-16749.007281345366,9943.483092943548
2023-07-04,-12116157.60154308,-158155.4856146383,-17995.56311255443,11031.895384428482
2023-07-05,-12067668.072192213,-156226.83970567072,-17821.919212131477,10828.732779258886
2023-07-06,-12021250.254531467,-187374.9982274802,-17594.744539485448,10588.068273505034
2023-07-07,-12101764.754830435,-180069.02879678627,-17385.623810310706,10369.60482335227
2023-07-10,-11705526.625490226,-173444.64916180857,-16875.545658803458,9735.706861969276
2023-07-11,-12147703.652748983,-183088.9858531941,-17996.504171781682,11153.813626816327
2023-07-12,-12381559.259952402,-171529.3125285382,-17542.007585475112,10667.402244553261
2023-07-13,-12673685.839721808,-159977.8227323911,-16254.11636532351,9109.858408782968
2023-07-14,-12715295.306001449,-156821.9626168695,-16016.305767310432,8633.84823730553
2023-07-17,-12742045.302543499,-153407.438898689,-15672.436593666807,8488.108349591002
2023-07-18,-12810964.71579036,-150483.3306409499,-15424.36137441565,8266.859169033301
2023-07-19,-12600798.203065345,-147646.42274083302,-15084.859592158811,7824.972471830918
2023-07-20,-12932908.94845448,-159888.69418387048,-16738.773415492164,9681.374536360969
2023-07-21,-12829485.17569676,-160254.37805100324,-16502.106176303572,9259.363359234374
2023-07-24,-12757753.346789887,-159269.07124588682,-15980.992819736866,8794.566898059815
2023-07-25,-12724406.754873365,-154419.72263680963,-15718.083846558275,8240.529800674514
2023-07-26,-12387208.16380287,-149037.17837781762,-16200.034469903643,8216.878923807357
2023-07-27,-12704137.44776705,-167630.1727989214,-17655.168339830885,9758.632507563005
2023-07-28,-12777767.063551193,-162462.64202757168,-16552.383838077687,8938.839622463725
2023-07-31,-13007391.178729417,-153108.60424745028,-15027.743096086182,8057.467008097595
2023-08-01,-12925952.873558588,-155715.8011384367,-14988.505327944844,8101.847411551229
